Template;Number of Uses;NoCopyrightReason
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-DutchGov"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-DutchGov</a>";2;Government work, not subject to copyright
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-Art-100"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-Art-100</a>";2;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-US-unpublished"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-US-unpublished</a>";2;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:Cc-by-3.0-nl"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">Cc-by-3.0-nl</a>";1;Copyrights waived or made free
"<a href=""https://commons.wikimedia.org/wiki/Template:Noord-Hollands_Archief-de_Boer"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">Noord-Hollands Archief-de Boer</a>";1;Copyrights waived or made free
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-Art-two"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-Art-two</a>";1;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-anon-auto-1996"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-anon-auto-1996</a>";1;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-Art-two-auto"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-Art-two-auto</a>";1;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-EU-anonymous"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-EU-anonymous</a>";1;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-Internationale"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-Internationale</a>";1;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-author"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-author</a>";1;Copyrights waived or made free
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-self"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-self</a>";1;Copyrights waived or made free
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-95-expired"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-old-95-expired</a>";1;Public domain because of age
